Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
3,1,7,-0.6323161526171045,0.5165901237657406,0.08938392699059308,1.3423333027055941,-0.18567274469485598,1.012032641717829,1,1.0
3,1,7,-0.6284989509292157,0.5492849167143896,0.0769099077866994,2.281086179995232,-0.08142888873937404,0.43740725917198825,1,0.979
3,1,7,-0.624681749241327,0.5811724308248,0.06443588858280572,2.3106951006888155,-0.003646934680283518,-0.137218123373852,1,0.957
3,1,7,-0.6208645475534383,0.865738221303781,0.05196186937891203,2.2155917932075835,0.006777450915264591,-0.25214319988302025,1,0.936
3,1,7,-0.6170473458655495,0.4007456104785524,0.018697818168528862,2.128265944157384,0.0364468560718249,-0.3670682763921885,1,0.915
3,1,7,-0.6132301441776609,0.37612360591228594,-0.027040252245747992,2.2374232554701328,0.050078744927541614,-0.137218123373852,1,0.894
3,1,7,-0.6094129424897722,0.3660326204343079,-0.051988290653535364,2.3106951006888155,0.13748320876713796,-0.022293046864683745,1,0.872
3,1,7,-0.6055957408018835,0.44393502832429876,-0.07277832266002485,2.3106951006888155,0.13587945713705366,-0.25214319988302025,1,0.83
3,1,7,-0.6017785391139947,0.36885809636814204,-0.07693632906132274,2.3106951006888155,0.14550196691755976,-0.3670682763921885,1,0.809
3,1,7,-0.597961337426106,0.4939863162950697,-0.1143583866730038,2.3106951006888155,0.18399200603958388,-0.25214319988302025,1,0.787
3,1,7,-0.5941441357382173,0.4625024416037781,-0.17672848269247224,2.3106951006888155,0.04847499329745731,-0.137218123373852,1,0.766
3,1,7,-0.5903269340503287,0.4156802689859601,-0.24741459151453646,2.084603019632285,-0.061381993363319835,-0.022293046864683745,1,0.745
3,1,7,-0.5865097323624399,0.29135932789727054,-0.3388907323430897,1.6479737743812903,-0.09586265341013304,-0.25214319988302025,1,0.723
3,1,7,-0.5826925306745512,0.7575628569798566,-0.4386828859742392,2.084603019632285,0.2978583717755716,-0.3670682763921885,1,0.702
2,1,7,-0.5788753289866625,1.0271939889514299,-0.5135270011976013,2.3029176422577824,0.5584680116642764,-0.5969184294105245,1,0.681
2,1,7,-0.5750581272987738,0.5448448831040793,-0.7297433340650916,1.757131085694039,0.4630447896742585,-0.7118435059196927,1,0.638
2,1,7,-0.571240925610885,0.1876239971836558,-0.8503255197027306,1.255007453655395,0.32832965274717396,-0.7118435059196927,1,0.617
2,1,7,-0.5674237239229963,-0.0448723082289585,-0.9334856477286886,1.102187217817547,0.33955591415776437,-0.826768582428861,1,0.596
2,1,7,-0.5636065222351077,-0.03155220739802754,-1.0041717565507526,0.7528838216167512,0.37163094675945124,-0.9416936589380293,1,0.574
2,1,7,-0.5597893205472189,-0.25557208500914025,-1.066541852570221,0.6218950480414526,0.29064148944019214,-1.0566187354471974,1,0.553
2,1,7,-0.5559721188593302,-0.32459442567851016,-1.1372279613922853,0.38174896315340556,0.27700960058447543,-0.826768582428861,1,0.532
2,1,7,-0.5521549171714415,-0.35042734850213403,-1.2079140702143494,0.5127377367287039,0.222482045161608,-0.826768582428861,1,0.511
2,1,7,-0.5483377154835528,-0.03962499578040981,-1.2411781214247326,0.49090627446615426,0.2681889666190113,-0.826768582428861,1,0.489
2,1,7,-0.544520513795664,0.062495777256728155,-1.2494941342273282,0.6655579725665521,0.33073528019230053,-0.826768582428861,1,0.468
2,1,7,-0.5407033121077753,-0.13649845636899907,-1.2328621086221367,0.5127377367287039,0.38606471143021026,-0.826768582428861,1,0.447
3,1,7,-0.5368861104198867,0.19488950672780028,-1.1995980574117537,0.44724334994105475,0.2569627052084212,-0.826768582428861,1,0.404
3,1,7,-0.533068908731998,0.47299706650087553,-1.1995980574117537,0.3162545763657564,0.09017253567965003,-0.826768582428861,1,0.383
2,1,7,-0.5292517070441092,0.7083188478473237,-1.224546095819541,0.7965467461418506,0.3179052671516258,-0.826768582428861,1,0.362
2,1,7,-0.5254345053562205,1.033248580238217,-1.2328621086221367,1.6916366989063898,1.1478467357202702,-0.7118435059196927,1,0.34
2,1,7,-0.5216173036683318,1.1999516603344142,-1.182966031806562,2.281086179995232,1.7548667277071917,-0.826768582428861,1,0.319
2,1,7,-0.5178001019804431,0.9198259034657436,-1.103963910181902,2.2155917932075835,1.6851035317985226,-0.7118435059196927,1,0.298
2,1,7,-0.5139829002925543,0.2554354195956686,-1.0041717565507526,1.6916366989063898,0.8535583115997942,-0.7118435059196927,1,0.277
2,1,7,-0.5101656986046657,0.0027571432270979083,-0.8461675133014328,1.429659151755793,0.11904006502116805,-0.7118435059196927,1,0.255
3,1,7,-0.506348496916777,-0.4182387709141465,-0.7172693148611982,1.3423333027055941,-0.5826012731407293,-0.5969184294105245,1,0.234
3,1,7,-0.5025312952288883,-0.9361081456439803,-0.6216351676313466,1.6043108498561907,-1.253771330331024,-0.3670682763921885,1,0.213
